end_date,profit_dedt,n_cashflow_act,total_cur_liab,total_ncl,total_assets,total_revenue,oper_cost,total_cur_assets,ts_code
20211231,142668520.81999993,280772695.57,3685306711.38,1231178164.01,13137349448.55,2263020939.529999,1942952530.5100002,6264645854.61,000902.SZ
20210930,346997267.0400001,-1232620035.46,3139413557.24,1182447964.55,12352651834.2,2834098437.450001,2243856077.54,6138827904.05,000902.SZ
20220930,982661789.0300002,1071989934.1299999,26534523820.14,17901751990.66,67026685597.22,9356996256.050001,7738580009.740002,25612343563.18,300014.SZ
20220630,759147492.3599999,956166856.11,25627961946.06,14664373940.46,61543696555.63,8192402059.99,6884968150.009999,25358594877.81,300014.SZ
20220331,434916889.99,853384921.59,17904088210.53,11447895587.64,50107179857.17,6733932863.07,5808060427.97,20215048003.61,300014.SZ
20211231,417071563.36000013,1464777483.23,14905610693.65,9240548485.39,44533907483.44,5452059818.109999,4519178705.019999,18221435336.81,300014.SZ
20210930,704731546.79,63635432.29000002,12403559671.11,4702769605.04,36530080205.24,4887984581.68,3834864843.500001,14412730970.07,300014.SZ
20220930,133590700.6500001,-36958837.92000008,301580751.85,9751834.22,2986487106.69,232744243.6400001,103806006.51999998,2462291321.13,688767.SH
20220630,249457724.08999997,127825476.45000005,430304637.57,10418625.91,2974924288.08,506652281.4699999,219974335.14999998,2450973389.92,688767.SH
20220331,484445824.96,696516794.88,575044013.77,5211809.1,3181979046.82,1017267845.08,399004906.38,2756825709.92,688767.SH
20211231,107236533.75999999,112149949.24000001,317560242.74,5799250.73,2431508922.58,314827229.1500001,147297309.26,2032709544.64,688767.SH
20210930,149656926.01,58195726.19999993,317366723.95,6553027.8,2315898293.32,345463545.5,133246479.01999998,1979624065.65,688767.SH
20220930,32490757.93,213763441.45,544249842.78,8128139.36,2159715602.97,365095595.65999997,305830496.77000004,1877991507.93,301256.SZ
20220630,21818299.54,-45373848.31999999,249828118.99,8221717.34,1849566837.39,275055194.28999996,229354801.70999998,1582399833.83,301256.SZ
20220331,4504304.21,-36640674.5,171268262.03,8228667.34,1741864954.53,161564904.21,142865303.12,1475006091.35,301256.SZ
20211231,43493170.89,115474952.38,121557170.06,8464132.69,784090343.65,327742524.32000005,251148641.29000002,524332157.59,301256.SZ
20210630,43028100.0,-79294439.85,77339317.91,10871001.08,691428315.36,316642018.14,228662967.37,481902476.72,301256.SZ
20220930,28601907.060000002,190709886.37,261757983.22,2280574.59,1035820613.36,339873643.03999996,289978283.6700001,1016767213.82,301085.SZ
